Source,Target,Weight
南宫婉,韩立,2373
曲魂,韩立,1839
厉飞雨,韩立,1797
紫灵仙子,韩立,1705
小绿瓶,韩立,1609
陈巧倩,韩立,1444
墨彩环,紫灵仙子,1438
墨彩环,韩立,1393
元瑶,韩立,1163
银月,韩立,1117
元瑶,紫灵仙子,924
南宫婉,紫灵仙子,714
墨彩环,陈巧倩,713
墨大夫,韩立,647
大衍神君,韩立,638
南宫婉,陈巧倩,615
文思月,韩立,417
元瑶,南宫婉,384
南宫婉,墨彩环,323
董萱儿,韩立,290
王蝉,韩立,195
厉飞雨,曲魂,192
小绿瓶,银月,161
文思月,紫灵仙子,131
南宫婉,银月,129
元瑶,银月,115
紫灵仙子,陈巧倩,109
紫灵仙子,银月,105
墨大夫,曲魂,102
元瑶,陈巧倩,99
董萱儿,陈巧倩,98
令狐老祖,韩立,92
南宫婉,董萱儿,88
小绿瓶,曲魂,79
元瑶,墨彩环,75
墨彩环,董萱儿,69
元瑶,曲魂,58
墨大夫,小绿瓶,48
墨彩环,曲魂,43
曲魂,银月,42
南宫婉,文思月,41
南宫婉,曲魂,40
雷万鹤,韩立,40
墨彩环,文思月,38
元瑶,文思月,38
银月,陈巧倩,37
元瑶,小绿瓶,37
南宫婉,小绿瓶,36
大衍神君,银月,36
文思月,陈巧倩,29
墨大夫,墨彩环,27
紫灵仙子,董萱儿,24
厉飞雨,王蝉,23
墨彩环,银月,22
大衍神君,曲魂,22
墨彩环,小绿瓶,20
墨大夫,大衍神君,18
小绿瓶,紫灵仙子,18
曲魂,陈巧倩,18
南宫婉,厉飞雨,18
元瑶,董萱儿,17
文思月,董萱儿,17
大衍神君,小绿瓶,16
文思月,银月,14
南宫婉,大衍神君,14
厉飞雨,文思月,14
墨大夫,紫灵仙子,11
董萱儿,银月,11
王蝉,董萱儿,10
厉飞雨,陈巧倩,10
厉飞雨,小绿瓶,9
南宫婉,墨大夫,9
元瑶,厉飞雨,8
大衍神君,紫灵仙子,8
厉飞雨,董萱儿,8
厉飞雨,紫灵仙子,7
厉飞雨,墨大夫,6
大衍神君,雷万鹤,5
厉飞雨,墨彩环,4
南宫婉,王蝉,4
令狐老祖,雷万鹤,4
曲魂,紫灵仙子,3
元瑶,墨大夫,3
小绿瓶,陈巧倩,3
南宫婉,雷万鹤,3
元瑶,王蝉,2
董萱儿,雷万鹤,2
文思月,曲魂,2
墨彩环,大衍神君,2
元瑶,大衍神君,2
陈巧倩,雷万鹤,2
厉飞雨,大衍神君,2
墨大夫,银月,1
令狐老祖,董萱儿,1
令狐老祖,陈巧倩,1
令狐老祖,王蝉,1
王蝉,紫灵仙子,1
厉飞雨,银月,1
大衍神君,王蝉,1
